Creighton,St John's,7.5
Villanova,St John's,27.5
Kennesaw State,Butler,42.0
Seton Hall,Butler,12.0
Creighton,Butler,2.5
Villanova,Butler,7.5
St John's,Butler,13.5
Brown,Providence,10.0
Yale,Providence,6.0
Seton Hall,Providence,10.0
Creighton,Providence,10.5
Villanova,Providence,12.0
St John's,Providence,1.66666666667
Butler,Providence,0.0
Seton Hall,Georgetown,12.5
Creighton,Georgetown,15.6666666667
Villanova,Georgetown,2.0
St John's,Georgetown,5.5
Butler,Georgetown,0.666666666667
Providence,Georgetown,3.0
Seton Hall,Marquette,5.0
Creighton,Marquette,3.0
Villanova,Marquette,21.3333333333
St John's,Marquette,9.5
Butler,Marquette,12.5
Providence,Marquette,1.0
Georgetown,Marquette,8.0
Seton Hall,DePaul,8.5
Creighton,DePaul,6.0
Villanova,DePaul,15.0
St John's,DePaul,2.0
Butler,DePaul,12.0
Providence,DePaul,19.0
Georgetown,DePaul,5.5
Marquette,DePaul,3.5
Florida Gulf Coast,Xavier,14.0
Long Beach State,Xavier,10.0
Cincinnati,Xavier,2.0
Seton Hall,Xavier,1.5
Creighton,Xavier,3.0
Villanova,Xavier,14.0
St John's,Xavier,4.5
Butler,Xavier,3.66666666667
Providence,Xavier,3.0
Georgetown,Xavier,10.6666666667
Marquette,Xavier,12.0
DePaul,Xavier,5.0
Kennesaw State,Chattanooga,8.0
Northern Kentucky,Chattanooga,12.0
Lipscomb,Chattanooga,18.0
Butler,Chattanooga,22.0
Chattanooga,Western Carolina,1.5
Chattanooga,The Citadel,12.0
Western Carolina,The Citadel,10.5
Chattanooga,East Tennessee State,5.5
Western Carolina,East Tennessee State,2.66666666667
The Citadel,East Tennessee State,5.0
Chattanooga,Wofford,3.0
Western Carolina,Wofford,17.0
The Citadel,Wofford,11.5
East Tennessee State,Wofford,9.0
East Carolina,UNC Greensboro,21.0
Chattanooga,UNC Greensboro,6.0
Western Carolina,UNC Greensboro,7.5
The Citadel,UNC Greensboro,7.0
East Tennessee State,UNC Greensboro,1.0
Wofford,UNC Greensboro,16.3333333333
Florida Gulf Coast,Furman,5.0
UC Davis,Furman,3.0
Chattanooga,Furman,4.33333333333
Western Carolina,Furman,7.5
The Citadel,Furman,7.66666666667
East Tennessee State,Furman,1.5
Wofford,Furman,10.0
UNC Greensboro,Furman,14.0
Chattanooga,VMI,13.0
Western Carolina,VMI,6.5
The Citadel,VMI,8.66666666667
East Tennessee State,VMI,2.0
Wofford,VMI,4.0
UNC Greensboro,VMI,20.5
Furman,VMI,22.0
Kennesaw State,Samford,13.0
Jacksonville,Samford,6.0
CS Northridge,Samford,7.0
Chattanooga,Samford,6.5
Western Carolina,Samford,5.0
The Citadel,Samford,5.5
East Tennessee State,Samford,0.5
Wofford,Samford,6.5
UNC Greensboro,Samford,2.66666666667
Furman,Samford,0.0
VMI,Samford,5.5
Kennesaw State,Mercer,8.0
UC Santa Barbara,Mercer,5.0
Dartmouth,Mercer,16.0
Seton Hall,Mercer,16.0
Chattanooga,Mercer,5.0
Western Carolina,Mercer,6.0
The Citadel,Mercer,23.0
East Tennessee State,Mercer,2.0
Wofford,Mercer,3.5
UNC Greensboro,Mercer,13.0
Furman,Mercer,2.0
VMI,Mercer,15.6666666667
Samford,Mercer,12.5
Cincinnati,St Francis (PA),15.0
Brown,Central Connecticut,12.0
East Carolina,Central Connecticut,15.0
Connecticut,Central Connecticut,33.0
St Francis (PA),Central Connecticut,4.0
Dartmouth,Bryant,17.0
Brown,Bryant,7.0
Harvard,Bryant,9.0
Yale,Bryant,7.0
Connecticut,Bryant,13.0
St Francis (PA),Bryant,9.5
Central Connecticut,Bryant,12.0
Georgetown,Robert Morris,14.0
Chattanooga,Robert Morris,15.0
St Francis (PA),Robert Morris,3.0
Central Connecticut,Robert Morris,6.5
Bryant,Robert Morris,5.33333333333
Temple,LIU Brooklyn,14.0
St John's,LIU Brooklyn,13.0
St Francis (PA),LIU Brooklyn,5.5
Central Connecticut,LIU Brooklyn,8.5
Bryant,LIU Brooklyn,4.5
Robert Morris,LIU Brooklyn,4.0
Brown,Sacred Heart,3.0
Yale,Sacred Heart,6.0
St Francis (PA),Sacred Heart,5.0
Central Connecticut,Sacred Heart,3.0
Bryant,Sacred Heart,6.66666666667
Robert Morris,Sacred Heart,8.0
LIU Brooklyn,Sacred Heart,5.0
Columbia,Fairleigh Dickinson,10.0
Princeton,Fairleigh Dickinson,4.0
St John's,Fairleigh Dickinson,22.0
St Francis (PA),Fairleigh Dickinson,4.5
Central Connecticut,Fairleigh Dickinson,6.5
Bryant,Fairleigh Dickinson,8.0
Robert Morris,Fairleigh Dickinson,18.0
LIU Brooklyn,Fairleigh Dickinson,1.0
Sacred Heart,Fairleigh Dickinson,3.0
Columbia,Wagner,14.0
Penn,Wagner,3.0
Cincinnati,Wagner,24.0
St Francis (PA),Wagner,6.0
Central Connecticut,Wagner,14.0
Bryant,Wagner,4.5
Robert Morris,Wagner,19.6666666667
