Kennesaw State
Stetson
Northern Kentucky
North Florida
Lipscomb
South Carolina Upstate
Florida Gulf Coast
Jacksonville
Cal State Fullerton
UC Riverside
UC Davis
UC Santa Barbara
UC Irvine
Long Beach State
Cal Poly
Hawaii
CS Northridge
Dartmouth
Columbia
Princeton
Brown
Cornell
Harvard
Penn
Yale
Tulane
Tulsa
Houston
Cincinnati
UCF
Memphis
East Carolina
Connecticut
SMU
Temple
South Florida
Seton Hall
Creighton
Villanova
St John's
Butler
Providence
Georgetown
Marquette
DePaul
Xavier
Chattanooga
Western Carolina
The Citadel
East Tennessee State
Wofford
UNC Greensboro
Furman
VMI
Samford
Mercer
St Francis (PA)
Central Connecticut
Bryant
Robert Morris
LIU Brooklyn
Sacred Heart
Fairleigh Dickinson
Wagner
St Francis (BKN)
Mount St Mary's
Maine
Albany
UMBC
Stony Brook
UMass Lowell
Binghamton
Hartford
Vermont
New Hampshire
Texas A&M-CC;
Lamar
Northwestern State
McNeese State
Sam Houston State
Nicholls State
Southeastern Louisiana
New Orleans
Incarnate Word
Houston Baptist
Central Arkansas
Stephen F Austin
Abilene Christian 
New Mexico
Nevada
Utah State
Wyoming
Fresno State
San Diego State
Air Force
Colorado State
UNLV
San José State
Boise State
Wright State
Cleveland State
Oakland
Milwaukee
Youngstown State
Detroit
Valparaiso
Green Bay
UIC
Bradley
Loyola (CHI)
Southern Illinois
Drake
Missouri State
Indiana State
Northern Iowa
Evansville
Wichita St
Illinois State
Texas Tech
Oklahoma State
West Virginia
Baylor
Kansas
Kansas State
TCU
Texas
Iowa State
Oklahoma
Tennessee Tech
Austin Peay
SIU-Edwardsville
Tennessee State
Eastern Kentucky
Tennessee-Martin
Eastern Illinois
Belmont
Jacksonville State
Southeast Missouri State
Murray State
Morehead State
Miami (OH)
Ball State
Western Michigan
Buffalo
Toledo
Central Michigan
Eastern Michigan
Bowling Green
Northern Illinois
Akron
Kent State
Ohio
Georgia Tech
Boston College
Virginia
Pittsburgh
Notre Dame
Virginia Tech
Louisville
Duke
Wake Forest
Syracuse
NC State
Miami (FL)
North Carolina
Clemson
Florida State
Texas State
Appalachian State
Arkansas State
Troy
Louisiana Monroe
Louisiana Lafayette
Arkansas-Little Rock
UT-Arlington
Georgia Southern
Georgia State
South Alabama
Chicago State
UT-Rio Grande Valley
Grand Canyon
Utah Valley
Seattle
CSU Bakersfield
New Mexico State
UMKC
Arkansas-Pine Bluff
Southern
Grambling State
Texas Southern
Mississippi Valley State
Alabama State
Prairie View A&M;
Jackson State
Alcorn State
Alabama A&M;
Penn State
Michigan State
Michigan
Rutgers
Northwestern
Wisconsin
Iowa
Indiana
Minnesota
Nebraska
Illinois
Purdue
Ohio State
Maryland
Southern Mississippi
UTEP
Middle Tennessee
North Texas
Charlotte
Western Kentucky
Florida Intl
Texas San Antonio
Marshall
Florida Atlantic
UAB
Old Dominion
Louisiana Tech
Rice
Denver
South Dakota
IUPUI
North Dakota State
Oral Roberts
IPFW
Western Illinois
South Dakota State
Omaha
San Diego
San Francisco
Gonzaga
Pacific
Saint Mary's
Santa Clara
BYU
Portland
Pepperdine
Loyola Marymount
High Point
Presbyterian College
Radford
Campbell
Coastal Carolina
Charleston Southern
UNC Asheville
Longwood
Gardner-Webb
Winthrop
Liberty
Massachusetts
Rhode Island
La Salle
Davidson
Dayton
George Mason
Fordham
Duquesne
Saint Joseph's
St Bonaventure
Richmond
George Washington
Saint Louis
VCU
South Carolina State
Bethune-Cookman
Morgan State
Hampton
North Carolina A&T;
Norfolk State
Coppin State
Howard
Maryland-Eastern Shore
Savannah State
North Carolina Central
Florida A&M;
Delaware State
Portland State
Eastern Washington
Northern Arizona
Northern Colorado
Weber State
North Dakota
Montana
Sacramento State
Montana State
Idaho
Idaho State
Southern Utah
Stanford
UCLA
Oregon
Arizona
Washington
Arizona State
Utah
USC
Oregon State
Colorado
California
Washington State
Saint Peter's
Siena
Fairfield
Manhattan
Niagara
Iona
Quinnipiac
Marist
Rider
Canisius
Monmouth
Colgate
Navy
Loyola (MD)
Lafayette
Bucknell
Army
American
Boston University
Holy Cross
Lehigh
Elon
Hofstra
UNC Wilmington
Delaware
James Madison
Towson
Charleston
Northeastern
Drexel
William & Mary
Texas A&M;
Arkansas
Tennessee
Alabama
Mississippi State
Auburn
LSU
Georgia
South Carolina
Missouri
Florida
Kentucky
Vanderbilt
Ole Miss
