Kennesaw State,Cornell,15.0
North Florida,Cornell,0.5
Lipscomb,Cornell,5.66666666667
Long Beach State,Cornell,0.5
Dartmouth,Cornell,0.535714285714
Columbia,Cornell,1.75
Princeton,Cornell,2.03571428571
Brown,Cornell,0.857142857143
Stetson,Harvard,16.0
Lipscomb,Harvard,11.0
Florida Gulf Coast,Harvard,3.5
Jacksonville,Harvard,20.0
UC Riverside,Harvard,7.5
UC Santa Barbara,Harvard,2.5
Cal Poly,Harvard,6.0
Dartmouth,Harvard,3.55172413793
Columbia,Harvard,2.68
Princeton,Harvard,0.84
Brown,Harvard,6.03448275862
Cornell,Harvard,4.08
Lipscomb,Penn,4.4
Florida Gulf Coast,Penn,1.0
Hawaii,Penn,1.75
Dartmouth,Penn,5.54166666667
Columbia,Penn,4.34615384615
Princeton,Penn,5.25
Brown,Penn,0.0833333333333
Cornell,Penn,4.76923076923
Harvard,Penn,5.32
Kennesaw State,Yale,9.5
Lipscomb,Yale,11.2
Jacksonville,Yale,3.5
UC Santa Barbara,Yale,3.0
Dartmouth,Yale,3.51612903226
Columbia,Yale,5.22222222222
Princeton,Yale,1.85185185185
Brown,Yale,4.90322580645
Cornell,Yale,4.64
Harvard,Yale,0.0357142857143
Penn,Yale,8.37931034483
Stetson,Tulane,2.66666666667
North Florida,Tulane,3.33333333333
Lipscomb,Tulane,5.0
South Carolina Upstate,Tulane,1.125
Jacksonville,Tulane,9.57142857143
UC Santa Barbara,Tulane,3.5
Long Beach State,Tulane,1.75
Hawaii,Tulane,1.75
Columbia,Tulane,0.333333333333
Princeton,Tulane,4.0
Harvard,Tulane,7.25
Penn,Tulane,5.66666666667
Yale,Tulane,5.66666666667
Stetson,Tulsa,5.5
South Carolina Upstate,Tulsa,7.8
Jacksonville,Tulsa,12.6666666667
UC Riverside,Tulsa,3.0
UC Santa Barbara,Tulsa,3.0
Hawaii,Tulsa,1.6
CS Northridge,Tulsa,5.5
Columbia,Tulsa,1.75
Princeton,Tulsa,20.0
Harvard,Tulsa,4.5
Penn,Tulsa,10.6666666667
Yale,Tulsa,5.75
Tulane,Tulsa,4.2
Stetson,Houston,2.0
South Carolina Upstate,Houston,3.83333333333
Jacksonville,Houston,9.66666666667
UC Riverside,Houston,0.333333333333
UC Santa Barbara,Houston,6.66666666667
UC Irvine,Houston,8.0
Hawaii,Houston,4.4
CS Northridge,Houston,0.5
Dartmouth,Houston,6.33333333333
Columbia,Houston,2.0
Princeton,Houston,3.33333333333
Brown,Houston,3.0
Cornell,Houston,2.66666666667
Penn,Houston,4.8
Yale,Houston,4.33333333333
Tulane,Houston,0.857142857143
Tulsa,Houston,3.07894736842
Stetson,Cincinnati,14.0
Northern Kentucky,Cincinnati,0.75
South Carolina Upstate,Cincinnati,8.16666666667
Florida Gulf Coast,Cincinnati,6.0
Jacksonville,Cincinnati,17.75
UC Riverside,Cincinnati,18.5
UC Davis,Cincinnati,2.33333333333
UC Santa Barbara,Cincinnati,7.0
Long Beach State,Cincinnati,5.6
Hawaii,Cincinnati,1.2
CS Northridge,Cincinnati,15.0
Columbia,Cincinnati,7.11111111111
Princeton,Cincinnati,6.5
Harvard,Cincinnati,0.666666666667
Penn,Cincinnati,10.2
Yale,Cincinnati,0.5
Tulane,Cincinnati,6.0
Tulsa,Cincinnati,0.351351351351
Houston,Cincinnati,5.42857142857
Kennesaw State,UCF,10.2857142857
Stetson,UCF,3.61538461538
Northern Kentucky,UCF,3.16666666667
North Florida,UCF,1.5
Lipscomb,UCF,6.16666666667
South Carolina Upstate,UCF,9.0
Florida Gulf Coast,UCF,5.42857142857
Jacksonville,UCF,1.92307692308
Cal State Fullerton,UCF,11.0
UC Santa Barbara,UCF,7.0
Hawaii,UCF,6.5
Columbia,UCF,4.0
Harvard,UCF,10.6
Penn,UCF,7.0
Yale,UCF,7.75
